Word,num_rhymes_full_elp,num_rhymes_1000_coca,num_rhymes_2500_coca,num_rhymes_5000_coca,num_rhymes_10000_coca,Ortho_N,Phono_N,Phono_N_H,OG_N,OLD,OLDF,PLD,PLDF,BG_Mean,I_Mean_RT,I_Zscore,I_SD,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Mean_Accuracy
triple,5,0,0,0,3,1,5,5,0,1.8,6.84,1.8,6.82,3705.2,781.74,-0.14,448.44,1,566.59,-0.53,79.45,1
tripled,2,0,0,0,0,5,3,3,1,1.8,6.62,1.85,6.11,4435,714.23,-0.16,233.14,0.91,690.33,-0.14,165.93,0.96
triplet,0,0,0,0,0,3,0,0,0,2.35,6.63,2.5,6.37,3585.67,638.09,-0.45,163.99,1,649.96,-0.35,113.93,1
triplets,0,0,0,0,0,0,0,0,0,2.65,6.25,2.75,6.11,3463,715.21,-0.31,181.46,0.97,664.82,-0.35,190.82,1
triplicate,0,0,0,0,0,0,0,0,0,3.6,5.78,3.85,6.76,4748,1319.93,1.07,595.53,0.5,866.86,0.7,262.03,1
tripod,0,0,0,0,0,1,1,1,1,2.35,7.23,2.75,7.43,2751.4,716.77,-0.24,165.57,0.88,722.38,0.02,158.82,0.93
tripods,0,0,0,0,0,0,0,0,0,2.8,7.37,3.15,7.29,2475.33,770.04,-0.09,328.06,0.76,737,-0.07,244.9,1
tripped,24,0,0,0,0,5,10,10,4,1.65,6.87,1.35,7.56,3788.17,765.15,-0.07,314.62,0.94,694.96,-0.15,205.35,1
tripping,18,0,0,0,0,4,7,7,3,1.75,6.4,1.6,6.97,5231.86,709.06,-0.34,212.17,0.94,657.52,-0.29,205.67,1
trips,29,0,0,0,0,7,11,11,3,1.55,7.49,1.35,8.01,2813.25,719.87,-0.31,287.81,0.97,603.31,-0.53,120.13,1
trite,54,0,0,0,0,5,14,14,4,1.75,8.01,1.15,9.42,5527.25,745.84,-0.12,304.42,0.76,709.04,-0.09,195.93,0.96
triumph,0,0,0,0,0,0,0,0,0,2.75,6.5,2.85,7.5,2316,668.32,-0.35,332.92,1,643.46,-0.38,117.3,1
triumphal,0,0,0,0,0,0,2,2,0,3.85,6.35,3.2,6.7,2789.88,802.58,0.48,263.63,0.4,810.25,0.35,209.5,0.92
triumphant,0,0,0,0,0,0,0,0,0,4.1,6.15,3.85,6.72,3230.44,870.67,0.19,400.96,0.88,696.59,-0.05,136.53,1
triumphantly,0,0,0,0,0,0,0,0,0,5.5,5.87,5.15,6.39,3077.91,837.13,0.29,268.36,0.97,788.35,0.13,121.33,0.96
triumphs,0,0,0,0,0,0,2,2,0,3.2,6.72,3.6,7.05,2026.29,770.52,-0.19,266.41,0.91,671.74,-0.2,133.54,0.96
triumvirate,0,0,0,0,0,0,0,0,0,4.9,5.78,5,7.53,3701.8,905,1.01,253.14,0.18,956.42,1.04,264.58,0.67
trivia,2,0,0,0,0,0,0,0,0,2.8,7.65,2.55,6.94,2980,642.73,-0.42,166.99,1,631.39,-0.34,122.68,1
trivial,1,0,0,0,0,0,0,0,0,2.75,7.76,2.85,7.06,3464.5,659.41,-0.42,201.69,0.97,679.48,-0.12,135.72,0.96
triviality,7,0,0,0,0,0,0,0,0,3.55,5.21,4.5,5.64,3526.44,933.69,0.45,310.01,0.81,885.79,0.37,212,0.76
trivialize,0,0,0,0,0,0,0,0,0,3.75,5.67,3.8,6.41,3243.22,966.36,0.54,419.91,0.81,786.22,0.24,190.27,0.96
troll,44,0,0,0,0,2,8,8,2,1.75,7.38,1.55,7.97,3574.75,681.2,-0.34,222.15,0.88,601.7,-0.64,86.33,1
